Linux 4.13.0-37-generic (darek) 	05/06/2018 	_x86_64_	(4 CPU)

09:55:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:55:57 PM     all      0.25      0.25      0.38      0.25      0.00     98.87
09:55:59 PM     all      0.00      0.38      1.25      0.00      0.00     98.37
09:56:01 PM     all      0.12      1.50      0.75      0.00      0.00     97.62
09:56:03 PM     all      0.00      0.38      0.13      0.38      0.00     99.12
09:56:05 PM     all      0.13      0.25      0.38      0.00      0.00     99.25
09:56:07 PM     all      0.00      0.38      0.13      0.00      0.00     99.50
09:56:09 PM     all      0.00      0.25      1.37      0.37      0.00     98.00
09:56:11 PM     all      0.13      0.38      0.38      0.88      0.00     98.25
09:56:13 PM     all      0.00      0.38      0.25      0.00      0.00     99.37
09:56:15 PM     all      0.38      0.50      0.25      0.00      0.00     98.87
09:56:17 PM     all      0.12      0.38      0.25      0.38      0.00     98.88
09:56:19 PM     all      0.00      0.38      1.13      0.00      0.00     98.50
09:56:21 PM     all      0.00      0.38      0.38      0.00      0.00     99.25
09:56:23 PM     all      0.00      0.38      0.13      0.38      0.00     99.12
09:56:25 PM     all      0.12      0.38      0.38      0.00      0.00     99.12
09:56:27 PM     all      0.00      0.38      0.38      0.00      0.00     99.25
09:56:29 PM     all      0.00      0.25      1.13      0.38      0.00     98.25
09:56:31 PM     all      0.00      0.38      0.25      0.00      0.00     99.37
09:56:33 PM     all      0.00      0.38      0.25      0.00      0.00     99.37
09:56:35 PM     all      0.00      0.25      0.50      0.38      0.00     98.87
09:56:37 PM     all      0.00      6.78      3.39      1.26      0.00     88.57
09:56:39 PM     all      0.12     15.55      7.96      0.62      0.00     75.75
09:56:41 PM     all      0.13     11.92      4.87      6.28      0.00     76.79
09:56:43 PM     all      0.00      0.00      0.25      5.08      0.00     94.66
09:56:45 PM     all      0.13      0.00      0.25      0.25      0.00     99.37
09:56:47 PM     all      0.13      0.13      0.13      4.39      0.00     95.24
09:56:49 PM     all      0.00      0.13      0.51      7.52      0.00     91.85
09:56:51 PM     all      0.25      0.00      1.00      0.38      0.00     98.37
09:56:53 PM     all      0.00      0.12      0.25      0.00      0.00     99.62
09:56:55 PM     all      0.12      0.12      0.12      0.00      0.00     99.62
09:56:57 PM     all      0.13      0.13      0.00      0.25      0.00     99.50
09:56:59 PM     all      0.12      0.12      0.12      0.00      0.00     99.62
09:57:01 PM     all      0.00      0.13      1.13      0.25      0.00     98.50
09:57:03 PM     all      0.38      0.12      0.12      0.00      0.00     99.38
09:57:05 PM     all      0.13      0.13      0.13      0.00      0.00     99.62
09:57:07 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
09:57:09 PM     all      0.00      0.00      0.25      0.38      0.00     99.37
09:57:11 PM     all      0.12      0.00      1.25      0.75      0.00     97.88
09:57:13 PM     all      0.13      0.13      0.00      0.00      0.00     99.75
09:57:15 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:57:17 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
09:57:19 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:57:21 PM     all      0.00      0.13      0.88      0.00      0.00     99.00
09:57:23 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
09:57:25 PM     all      0.13      0.00      0.13      0.13      0.00     99.62
09:57:27 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:57:29 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
09:57:31 PM     all      0.00      0.00      0.88      0.00      0.00     99.12
09:57:33 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:57:35 PM     all      0.00      0.12      0.25      0.38      0.00     99.25
09:57:37 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:57:39 PM     all      0.00      0.00      0.25      0.12      0.00     99.62
09:57:41 PM     all      0.00      0.00      1.00      0.25      0.00     98.75
09:57:43 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:57:45 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:57:47 PM     all      0.12      0.12      0.12      0.25      0.00     99.38
09:57:49 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:57:51 PM     all      0.00      0.13      1.00      0.00      0.00     98.87
09:57:53 PM     all      0.00      0.12      0.12      0.38      0.00     99.38
09:57:55 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
09:57:57 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:57:59 PM     all      0.12      0.12      0.12      0.25      0.00     99.38
09:58:01 PM     all      0.13      0.00      0.88      0.00      0.00     99.00
09:58:03 PM     all      0.00      0.25      0.25      0.25      0.00     99.25
09:58:05 PM     all      0.00      0.13      0.25      0.00      0.00     99.62
09:58:07 PM     all      0.12      0.12      0.25      0.12      0.00     99.38
09:58:09 PM     all      0.13      0.13      0.00      0.25      0.00     99.50
09:58:11 PM     all      0.25      0.00      0.25      0.75      0.00     98.75
09:58:13 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
09:58:15 PM     all      0.12      0.12      0.25      0.00      0.00     99.50
09:58:17 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
09:58:19 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:58:21 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:23 PM     all      0.12      0.12      1.00      0.25      0.00     98.50
09:58:25 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:27 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:29 PM     all      0.00      0.13      0.13      0.38      0.00     99.37
09:58:31 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:33 PM     all      0.13      0.00      0.88      0.00      0.00     99.00
09:58:35 PM     all      0.00      0.13      0.25      0.25      0.00     99.37
09:58:37 PM     all      0.00      0.00      0.25      0.12      0.00     99.62
09:58:39 PM     all      0.00      0.12      0.12      0.00      0.00     99.75
09:58:41 PM     all      0.13      0.00      0.13      0.38      0.00     99.37
09:58:43 PM     all      0.00      0.12      1.00      0.00      0.00     98.88
09:58:45 PM     all      0.00      0.00      0.13      0.25      0.00     99.62
09:58:47 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
09:58:49 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:51 PM     all      0.38      0.00      0.25      0.38      0.00     99.00
09:58:53 PM     all      0.00      0.13      0.88      0.00      0.00     99.00
09:58:55 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:58:57 PM     all      0.00      0.00      0.13      0.25      0.00     99.62
09:58:59 PM     all      0.00      0.12      0.12      0.12      0.00     99.62
09:59:01 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:59:03 PM     all      0.00      0.13      1.00      0.38      0.00     98.50
09:59:05 PM     all      0.38      0.00      0.25      0.00      0.00     99.37
09:59:07 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:59:09 PM     all      0.12      0.25      0.12      0.25      0.00     99.25
09:59:11 PM     all      0.13      0.00      0.25      0.50      0.00     99.12
09:59:13 PM     all      0.00      0.00      1.00      0.25      0.00     98.75
09:59:15 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
09:59:17 PM     all      0.12      0.12      0.12      0.37      0.00     99.25
09:59:19 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
09:59:21 PM     all      0.00      0.12      0.25      0.00      0.00     99.62
09:59:23 PM     all      0.00      0.12      1.12      1.12      0.00     97.63
09:59:25 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:59:27 PM     all      0.13      0.00      0.00      0.38      0.00     99.50
09:59:29 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
09:59:31 PM     all      0.00      0.12      0.25      0.00      0.00     99.62
09:59:33 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
09:59:35 PM     all      0.13      0.00      0.88      0.00      0.00     99.00
09:59:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:59:39 PM     all      0.12      0.00      0.25      0.25      0.00     99.38
09:59:41 PM     all      0.00      0.12      0.12      0.12      0.00     99.62
09:59:43 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
09:59:45 PM     all      0.00      0.13      0.88      0.38      0.00     98.62
09:59:47 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:59:49 PM     all      0.00      0.13      0.00      0.00      0.00     99.87
09:59:51 PM     all      0.12      0.12      0.37      0.37      0.00     99.00
09:59:53 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:59:55 PM     all      0.12      0.12      1.12      0.00      0.00     98.63
09:59:57 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
09:59:59 PM     all      0.00      0.13      0.00      0.00      0.00     99.87
10:00:01 PM     all      0.75      0.13      0.13      1.38      0.00     97.62
10:00:03 PM     all      0.13      0.00      0.25      0.25      0.00     99.37
10:00:05 PM     all      0.00      0.25      1.00      0.12      0.00     98.63
10:00:07 PM     all      0.13      0.00      0.13      0.25      0.00     99.50
10:00:09 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
10:00:11 PM     all      0.00      0.13      0.13      0.13      0.00     99.62
10:00:13 PM     all      0.25      0.00      0.25      0.75      0.00     98.75
10:00:15 PM     all      0.00      0.12      1.00      0.12      0.00     98.75
10:00:17 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
10:00:19 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:00:21 PM     all      0.00      0.13      0.00      0.00      0.00     99.87
10:00:23 PM     all      0.13      0.00      0.13      0.38      0.00     99.37
10:00:25 PM     all      0.00      0.13      1.00      0.00      0.00     98.87
10:00:27 PM     all      0.00      0.13      0.25      0.00      0.00     99.62
10:00:29 PM     all      0.00      0.00      0.13      0.38      0.00     99.50
10:00:31 PM     all      0.12      0.12      0.25      0.00      0.00     99.50
10:00:33 PM     all      0.00      0.13      0.13      0.88      0.00     98.87
10:00:35 PM     all      0.00      0.00      1.00      0.13      0.00     98.87
10:00:37 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:00:39 PM     all      0.00      0.13      0.13      0.25      0.00     99.50
10:00:41 PM     all      0.12      0.12      0.00      0.12      0.00     99.62
10:00:43 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:00:45 PM     all      0.00      0.00      0.88      0.50      0.00     98.62
10:00:47 PM     all      0.12      0.12      0.25      0.00      0.00     99.50
10:00:49 PM     all      0.00      0.00      0.00      0.38      0.00     99.62
10:00:51 PM     all      0.00      0.12      0.38      0.00      0.00     99.50
10:00:53 PM     all      0.38      0.13      0.38      0.75      0.00     98.37
10:00:55 PM     all      0.12      0.00      0.88      0.12      0.00     98.88
10:00:57 PM     all      0.12      0.12      0.37      0.25      0.00     99.13
10:00:59 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:01:01 PM     all      0.00      0.13      0.00      0.00      0.00     99.87
10:01:03 PM     all      0.00      0.12      0.25      0.38      0.00     99.25
10:01:05 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
10:01:07 PM     all      0.00      0.25      1.12      0.75      0.00     97.88
10:01:09 PM     all      0.00      0.00      0.13      0.25      0.00     99.62
10:01:11 PM     all      0.12      0.00      0.12      0.12      0.00     99.62
10:01:13 PM     all      0.00      0.13      0.13      0.00      0.00     99.75
10:01:15 PM     all      0.00      0.00      0.25      0.38      0.00     99.37
10:01:17 PM     all      0.00      0.00      0.88      0.00      0.00     99.12
10:01:19 PM     all      0.12      0.12      0.12      0.00      0.00     99.63
10:01:21 PM     all      0.00      0.00      0.13      0.25      0.00     99.62
10:01:23 PM     all      0.00      0.25      0.12      0.00      0.00     99.62
10:01:25 PM     all      0.00      0.00      0.13      0.13      0.00     99.75
10:01:27 PM     all      0.00      0.25      1.00      0.25      0.00     98.50
10:01:29 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:01:31 PM     all      0.12      0.12      0.12      0.00      0.00     99.62
10:01:33 PM     all      0.12      0.12      0.12      0.38      0.00     99.25
10:01:35 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:01:37 PM     all      0.13      0.13      0.88      0.00      0.00     98.87
10:01:39 PM     all      0.25      0.00      0.25      0.25      0.00     99.25
10:01:41 PM     all      0.12      0.12      0.25      0.12      0.00     99.38
10:01:43 PM     all      0.00      0.50      0.38      0.63      0.00     98.50
10:01:45 PM     all      0.25      0.13      0.13      0.75      0.00     98.75
10:01:47 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
10:01:49 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
10:01:51 PM     all      0.25      0.00      0.25      0.12      0.00     99.38
10:01:53 PM     all      0.13      0.00      0.13      0.75      0.00     99.00
10:01:55 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
10:01:57 PM     all      0.00      0.00      0.88      0.00      0.00     99.12
10:01:59 PM     all      0.00      0.12      0.12      0.38      0.00     99.38
10:02:01 PM     all      0.12      0.00      0.25      0.00      0.00     99.62
10:02:03 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
10:02:05 PM     all      0.00      0.12      0.12      0.38      0.00     99.38
10:02:07 PM     all      0.12      0.00      1.00      0.00      0.00     98.88
10:02:09 PM     all      0.00      0.12      0.25      0.00      0.00     99.63
10:02:11 PM     all      0.13      0.00      0.00      0.38      0.00     99.50
10:02:13 PM     all      0.00      6.62      0.25      0.00      0.00     93.12
10:02:15 PM     all      0.12      0.00      0.25      0.00      0.00     99.62
10:02:17 PM     all      0.00      0.12      1.00      0.75      0.00     98.12
10:02:19 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:02:21 PM     all      0.12      0.12      0.12      2.00      0.00     97.62
10:02:23 PM     all      0.00      0.13      0.00      0.00      0.00     99.87
10:02:25 PM     all      0.12      0.12      0.25      0.00      0.00     99.50
10:02:27 PM     all      0.00      0.00      0.00      0.75      0.00     99.25
10:02:29 PM     all      0.00      0.12      1.00      0.00      0.00     98.88
10:02:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:02:33 PM     all      0.13      0.00      0.00      0.38      0.00     99.50
10:02:35 PM     all      0.12      0.12      0.12      0.00      0.00     99.62
10:02:37 PM     all      0.00      0.12      0.12      0.25      0.00     99.50
10:02:39 PM     all      0.00      0.13      0.75      0.13      0.00     99.00
10:02:41 PM     all      0.25      0.00      0.37      0.00      0.00     99.38
10:02:43 PM     all      0.13      0.13      0.00      0.38      0.00     99.37
10:02:45 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
10:02:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:02:49 PM     all      0.12      0.00      1.12      0.37      0.00     98.38
10:02:51 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:02:53 PM     all      0.38      0.12      0.25      0.75      0.00     98.50
10:02:55 PM     all      0.13      0.00      0.13      0.00      0.00     99.75
10:02:57 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:02:59 PM     all      0.00      0.13      0.75      0.38      0.00     98.75
10:03:01 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
10:03:03 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:03:05 PM     all      0.37      0.25      0.25      0.37      0.00     98.75
10:03:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:03:09 PM     all      0.00      0.12      1.12      0.00      0.00     98.75
10:03:11 PM     all      0.00      0.00      0.00      0.38      0.00     99.62
10:03:13 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:03:15 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:03:17 PM     all      0.00      0.12      0.12      0.38      0.00     99.38
10:03:19 PM     all      0.13      0.00      0.75      0.00      0.00     99.12
