#timestamp	rx_kbytes	tx_kbytes
10:25:02 PM	3.24	0.00
10:25:04 PM	3.20	0.24
10:25:06 PM	54204356.12	3467426.77
10:25:08 PM	4.83	1.21
10:25:10 PM	3.47	0.39
10:25:12 PM	4.11	0.39
10:25:14 PM	5.04	0.42
10:25:16 PM	4.02	0.39
10:25:18 PM	4.63	0.39
10:25:20 PM	4.19	0.39
10:25:22 PM	4.86	0.39
10:25:24 PM	4.32	0.39
10:25:26 PM	5.49	0.39
10:25:28 PM	4.58	1.25
10:25:30 PM	3.95	0.43
10:25:32 PM	4.34	0.39
10:25:34 PM	4.52	0.39
10:25:36 PM	5.69	0.87
10:25:38 PM	8.98	0.39
10:25:40 PM	5.39	0.43
10:25:42 PM	7.26	0.39
10:25:44 PM	3.93	0.39
10:25:46 PM	4.88	0.52
10:25:48 PM	5.15	0.39
10:25:50 PM	5.34	0.42
10:25:52 PM	3.67	0.39
10:25:54 PM	6.44	0.39
10:25:56 PM	8.97	0.39
10:25:58 PM	4.15	0.39
10:26:00 PM	4.48	0.39
10:26:02 PM	3.99	0.39
10:26:04 PM	3.55	0.42
10:26:06 PM	3.57	0.42
10:26:08 PM	3.72	0.44
10:26:10 PM	3.70	0.42
10:26:12 PM	4.02	0.39
10:26:14 PM	5.58	0.43
10:26:16 PM	4.60	0.39
10:26:18 PM	8.27	0.39
10:26:20 PM	4.48	0.43
10:26:22 PM	4.14	0.39
10:26:24 PM	5.81	0.43
10:26:26 PM	4.83	0.42
10:26:28 PM	6.53	0.39
10:26:30 PM	5.75	0.39
10:26:32 PM	4.37	0.39
10:26:34 PM	5.07	0.42
10:26:36 PM	5.36	0.39
10:26:38 PM	3.99	0.39
10:26:40 PM	3.76	0.41
10:26:42 PM	5.17	0.39
10:26:44 PM	4.41	0.46
10:26:46 PM	7.73	0.39
10:26:48 PM	8.49	0.39
10:26:50 PM	7.26	0.39
10:26:52 PM	6.81	0.39
10:26:54 PM	5.61	0.39
10:26:56 PM	4.58	0.39
10:26:58 PM	5.83	0.43
10:27:00 PM	6.48	0.42
10:27:02 PM	3.32	0.43
10:27:04 PM	3.02	0.45
10:27:06 PM	3.48	0.42
10:27:08 PM	3.53	0.43
10:27:10 PM	3.79	0.44
10:27:12 PM	4.92	0.39
10:27:14 PM	4.82	0.39
10:27:16 PM	3.91	0.39
10:27:18 PM	4.70	0.39
10:27:20 PM	5.35	0.42
10:27:22 PM	4.78	0.39
10:27:24 PM	5.44	0.42
10:27:26 PM	6.45	0.39
10:27:28 PM	6.43	0.39
10:27:30 PM	5.07	0.39
10:27:32 PM	8.50	0.39
10:27:34 PM	5.88	0.39
10:27:36 PM	4.58	0.39
10:27:38 PM	4.88	0.39
10:27:40 PM	4.20	0.42
10:27:42 PM	5.15	0.43
10:27:44 PM	5.44	0.39
10:27:46 PM	4.45	0.39
10:27:48 PM	4.70	0.39
10:27:50 PM	5.27	0.43
10:27:52 PM	4.06	0.43
10:27:54 PM	6.25	0.39
10:27:56 PM	8.59	0.39
10:27:58 PM	6.34	0.39
10:28:00 PM	7.12	0.42
10:28:02 PM	3.14	0.39
10:28:04 PM	4.32	0.39
10:28:06 PM	4.07	0.46
10:28:08 PM	5.42	0.39
10:28:10 PM	4.62	0.44
10:28:12 PM	4.02	0.39
10:28:14 PM	5.60	0.39
10:28:16 PM	4.15	0.39
10:28:18 PM	5.49	0.39
10:28:20 PM	3.92	0.39
10:28:22 PM	5.40	0.39
10:28:24 PM	3.79	0.39
10:28:26 PM	3.71	0.43
10:28:28 PM	5.58	0.39
10:28:30 PM	5.13	0.39
10:28:32 PM	4.92	0.39
10:28:34 PM	3.67	0.39
10:28:36 PM	6.74	0.43
10:28:38 PM	4.61	0.39
10:28:40 PM	5.58	0.39
10:28:42 PM	4.96	0.39
10:28:44 PM	3.94	0.39
10:28:46 PM	5.14	0.39
10:28:48 PM	5.11	0.39
10:28:50 PM	4.49	0.39
10:28:52 PM	6.46	0.39
10:28:54 PM	4.38	0.42
10:28:56 PM	4.84	0.39
10:28:58 PM	6.49	0.39
10:29:00 PM	4.39	0.39
10:29:02 PM	4.69	0.43
10:29:04 PM	7.33	0.39
10:29:06 PM	5.35	0.42
10:29:08 PM	8.03	0.42
10:29:10 PM	6.34	0.39
10:29:12 PM	6.26	0.44
10:29:14 PM	3.88	0.39
10:29:16 PM	6.89	0.39
10:29:18 PM	4.17	0.39
10:29:20 PM	4.71	0.39
10:29:22 PM	5.66	0.46
10:29:24 PM	3.98	0.39
10:29:26 PM	5.22	0.39
10:29:28 PM	6.73	0.39
10:29:30 PM	3.78	0.42
10:29:32 PM	5.21	0.39
10:29:34 PM	4.52	0.39
10:29:36 PM	4.86	0.39
10:29:38 PM	5.56	0.39
10:29:40 PM	4.61	0.43
10:29:42 PM	5.37	0.39
10:29:44 PM	7.69	0.39
10:29:46 PM	4.73	0.42
10:29:48 PM	5.51	0.43
10:29:50 PM	5.15	0.39
10:29:52 PM	3.38	0.43
10:29:54 PM	5.35	1.25
10:29:56 PM	4.64	0.39
10:29:58 PM	7.34	0.39
10:30:00 PM	4.57	0.39
10:30:02 PM	5.71	0.39
10:30:04 PM	5.10	1.16
10:30:06 PM	4.96	0.37
10:30:08 PM	5.85	0.82
